2016,胶印环境友好型油墨——大豆油墨--《资源节约与环保》,大豆油墨 可再生 应用现状,"大豆油墨作为新型环保油墨,在发达国家已有广泛的应用,本文主要从石油危机、环境保护的角度分析了大豆油墨产生的原因,从环保性、脱墨性、气味、可再生等四个方面分析了相对于传统油墨大豆油墨的优势,最后给出了大豆油墨在欧美、日本、中国等不同国家的应用现状,旨在推动其在中国的应用。"
2005,大豆油墨的研究概况--《大豆通报》,大豆油墨 环保 印刷油墨,"本文简要地介绍了大豆油墨的研发历史、功能特性及应用现状 ,大豆油墨的研发是油脂行业对环保的一份贡献。"
2011,绿色印刷之大豆油墨--《印刷杂志》,大豆油墨 VOC 环保性 印刷适性 应用现状 前景,"中国印刷及设备器材工业协会统计,2009年我国印刷工业总产值为5150亿元,较上年度增长8.4%。预计2015年我国印刷工业总产值将达到9800亿,也"
2018,大豆油墨印刷成为绿色印刷主流--《环境经济》,大豆油墨;绿色印刷;油墨印刷;,"作为印刷环节中重要的使用耗材,油墨直接影响到印刷企业能否实现绿色印刷和节能环保。油墨的生产制造过程需要使用大量的有机溶剂,印刷过程中会挥发到空气中,不但会危害工人的身体健康,也会对空气质量造成较大影响,而且印刷品上的残留溶剂,也会对消费者、读者的身体健康造成一定的影响。""在我国印刷行业全面推广使用环保型印刷油墨就显得非常迫切。""全国人大代表、广东天龙油墨集团股份有限公司董事长冯毅说,目前,大豆"
2007,大豆油墨:未来环保油墨的主角--《中国包装》,大豆油 普通油墨 植物油脂 油基油墨 印刷油墨 环保型 胶印油墨 彩色印刷 环保性 应用范围,"植物油墨即植物油基油墨,它使用植物油脂作为连接料,目前研发和应用的连接料主要有碱炼大豆油、菜籽油、棉籽油、葵花籽油、红花籽油和CanoIa油等,其中最常用的是大豆油墨(Soy ink或称Vegetable ink)。大豆油墨是由食用黄豆油(或者其它干性或半干性植物油脂)与颜料、树脂、腊质等混合而成的。大豆油墨将是未来环保油墨的最佳选择之一,其发展前景非"
2016,大豆油墨面面观--《印刷技术》,大豆油墨;印刷油墨;胶印油墨;溶剂型油墨;印品;美国报业协会;单张纸;连结料;植物油脂;脱墨;,"近年来,环保与健康已成为全球瞩目的问题。由于报纸、杂志等印刷品和生活息息相关,使得印刷油墨的环保问题倍受关注,环保型大豆油墨的研究和应用也越来越多地得到人们的重视。大豆油墨是指将大豆油轻度提纯后,与色素,填料和树脂等添加剂混合得到的一种胶印油墨,其替代传统石油,减少了化石原料有机物质的挥发,减轻了对环境的污染,符合"
2015,大豆油墨的油墨转移率研究分析--《印刷技术》,大豆油墨;油墨转移;胶印油墨;墨层厚度;印刷适性仪;确保操作;石油资源;光泽度;印刷压力;印刷品质量;,"大豆油属于可食用油,分解后可完全融入自然环境。在各种配方的植物油油墨中,大豆油墨是真正意义上的可应用的环保型油墨。大豆油墨不污染空气,减少了对日益匮乏的石油资源的依赖,是生物可降解的油墨产品,能确保操作人员和消费者的健康。目前,大豆油墨的普及推广很快,在欧洲、日本、韩国等国家和地区先后得到广泛应用,很多对环保要求较高的产品也趋向于使用大豆油墨进行印刷。而大豆油墨在我国的应"
2010,低碳经济下大豆油墨的现状及发展--《印刷质量与标准化》,大豆油 油基油墨 环保型 印刷适性 低碳 环保特性 植物油 脂肪酸 印刷行业 经济的,"低碳经济是当今时代的热点话题,使用环保型的油墨,杜绝VOC的排放以缓解各种环保问题也是当前各国亟待解决的环保课题。本文主要介绍了大豆油墨的发展及应用情况,通过了解其发展历史、性能特点,分析其印刷适性,进一步拓宽了对大豆油墨的认识,并对其在国内的推广提出了一些可供参考的建议。"
2007,前景看好的大豆油墨--《印刷世界》,大豆油 印刷油墨 印刷品 印刷生产过程 环保性 生产流程 污染来源 有害物质 安全问题 不利因素,"我们的生活离不开五光十色的各类印刷品,随着生活水平的不断提高,人们对印刷品的环保性以及对人体无危害性的要求日趋严格。国际上对印刷品中含有的有害物质均有限制,印刷制品安全问题可能成为阻碍我国出口发展的不利因素之一。而从印刷品的生产流程来看,油墨是在整个印刷生产过程中最主要的污染来源。"
2006,选择大豆油墨  不得不说的理由--《中国印刷物资商情》,大豆油 油墨 印刷适性 应用现状 环保型 环保效果 再生纸 石油价格 印刷适应性 特点,"大豆油墨并非因为采用了大豆油就贴上了绿色的标签,而是根据油墨各个组分综合考虑,从而实现整体上的环保效果。"
2018,大豆油墨渐成主流  全球印刷业迈进绿色时代--《环境与生活》,大豆油墨 绿色印刷 绿色发展 绿色时代 股份有限公司 主流 天龙 印刷产品 印刷品 建议书,"在今年全国两会上,新当选的全国人大代表、广东天龙油墨集团股份有限公司董事长冯毅,带来了一份有关在印刷行业推广使用环保型印刷材料,推动行业绿色发展的建议书,显示出我国印刷行业对绿色印刷理念的关注。事实上,自上世纪80年代以来,绿色印刷已逐渐成为全球印刷业发展的主流,我国如今也快速融入这一印刷业绿色发展的大潮中。"
2013,绿色印刷加速器——环保植物油墨--《网印工业》,大豆油 胶印油墨 植物油脂 环保植物 印刷企业 挥发性有机化合物 挥发性有机污染物 绿色环保型 绿色化 油基油墨,"近年来,随着绿色环保印刷的呼声日益高涨,各个印刷企业都在实施绿色环保措施。油墨作为印刷行业的主要耗材,其绿色环保受到人们的密切关注。尤其挥发性有机污染物(VOC)减排与控制技术创新联盟的成立对油墨的绿色技术提出更高的要求。而环保植物油墨(大豆油墨)作为环保油墨中的佼佼者它不仅绿色环保,还加速了我国印刷行业绿色化前进的步伐。"
2009,大豆油墨印刷适性问题的探讨--《今日印刷》,大豆油 油墨印刷适性 豆油基油墨 矿物油 印刷速度 连接料 干燥速度 普通油墨 干燥剂 绿色环保,"印刷业应如何减少挥发性有机溶剂的含量?如何让印刷成品在使用完后更容易自然降解?如何跟上国际环保标准并消除与其接轨的障碍?……在诸多亟待解决的课题的推动下,大豆油墨作为新型环保油墨日后必将成为主流。大豆油墨是指用自然环保的大豆油替换传统油墨石油系矿物油配方中的210%～50%,从而使油墨中的VOC含量由原来的30%～60%降低到5%～15%,而其他成分和普通油墨的主要成分大致相同,也分颜料、连结料、矿物油,助剂等。大豆油墨具有绿色环保性能良好、耐摩擦和耐热性好、脱墨再生性好、着墨性好、综"
2005,环保型大豆油墨的研制--《浙江大学》,大豆油 油墨 胶印 环保,在传统油墨中一般含有3060的石油系矿物油属有机溶剂含芳烃当印刷时油墨的干燥需要挥发这些矿物油会释放出大量有机溶剂造成严重的大气污染全球每年因油墨引起的有机挥发物VOCVollitileOrganicChemicals污染排放量已达几十万吨这些有机挥发物可以形成比二氧化碳更严重的温室效应而且在阳光的照射下会形成氧化物和光化学烟雾严重污染大气环境对于印刷工人由于长期处于高浓度的VOC中会对人体特别是神经系统造成极大损害因此如何减少油墨中VOC的含量成为各国治理环境的重中之重现在各国也都开始陆续制定严格的法令法规以限制有机溶剂的使用和排放大豆油墨是将传统油墨配方中2050的的矿物油替代为自然环保的大豆油从而使油墨中的VOC含量由原来的3060降低到515因此在环保呼声的推动下大豆油墨必将成为今后胶印印刷用油墨的主流尽管大豆油墨具有很好的环保前景但由于大豆油自身的特点给大豆油墨的开发带来一定的难度其主要的难点在于①大豆油墨的干燥性问题②调整大豆油墨墨性使其接近甚至超过传统油墨大豆油中只有9双键含量较多的亚麻酸而双键含量较少的硬脂酸油酸和亚油酸却占到了近80与其相比传统的亚麻油中亚麻酸含量在52以上亚油酸等双键较少的植物油酸只占了30左右因此大豆油由于含有的较少的可反应双键与空气中的氧气反应相对缓慢使制造出的大豆油墨出现干燥不良会给印刷带来如粘脏附着力差等许多问题也使油墨的可印刷性和印刷效率大大降低同时由于大豆油替代了传统油墨配方中的部分矿物油打破了传统油墨的墨性平衡使大豆油墨在流动性水墨平衡等方面都与传统油墨有一定的差距这就需要通过全新的油墨配方将其重新达到平衡使大豆油墨能在印刷中得到接近传统油墨甚至更好的表现对于油墨来说影响其干燥性的不只是植物油还有树脂矿物油连接料制造工艺等因素也会很大程度上影响油墨的干燥性所以尽管大豆油自身在干燥性方面存在不足但完全可以通过树脂的选择和调整连接料的配方改进连接料制造的工艺以及油墨配方的合理配比来克服大豆油的干燥性问题依据以上思路本文着重针对树脂的选择连接料配方和工艺的调整以及油墨配方的合配比展开研究工作
