2018,环保新形势与柔印发展新机遇--《印刷技术》,,"环保大背景下行业形势的新变化近日,HJ371-2018《环境标志产品技术要求凹印油墨和柔印油墨》正式获批,2018年10月1日起正式执行。印刷界治污形势朝源头控制方向发展,趋势日趋明显。新的环境标志产品技术要求油墨中的溶剂含量不超过5%,这就为柔印水墨用户在环保大背景下开拓了一条新的市场发展通道。柔印水墨用户目前主要集中在瓦楞纸箱印刷(包括预印和后印)、快"
2017,2017中国柔印市场的现状与发展趋势--《印刷技术》,柔印机;柔性版印刷;溶剂型油墨;凹印;印刷领域;瓦楞纸箱;机组式;印刷方式;水性油墨;柔印技术;,"中国柔印市场的现状与发展趋势这个话题,相信不仅是柔印同仁们共同关心的话题,亦是关心柔印发展或对柔印感兴趣的印刷同仁们欲了解的话题。近年来,笔者曾多次就这个话题试探性地发表个人看法,如今再回眸,值得欣喜和欣慰:笔者一直以来对中国柔印市场有着坚定的判断,即柔印在中国的持续发展是确定的,多年来,中国柔印市场正稳步地在笔者判定的轨道上运行,尤其近两年正在以更"
2017,中国柔印的现状与未来发展--《印刷杂志》,柔印 发展现状 产业链供应 绿色环保 人才培养,"中国柔印的现状与未来发展的话题,相信是柔印同仁们共同关心的话题,亦是关心柔印发展或对柔印感兴趣的印刷同仁们欲了解的话题。几年来,笔者曾几次就此话题试探性地发表了个人看法,如今再回眸,值得欣喜和欣慰的是:多年来,中国柔印正稳步地在笔者一直以来对中国柔印的坚定展望的轨道上运行——""柔印在中国的持续发展是确定的"",正在以更快更好的速"
2018,水墨柔印工艺应用现状及发展前景——基于教科书柔性版水墨印刷项目分析--《出版与印刷》,水墨柔印 绿色印刷 教科书,"水墨柔印工艺是目前可以实现大规模绿色环保印刷的成熟工艺,是可以改变印刷污染并实现生产零排放的""深绿色""印刷工艺。文章通过分析教科书柔性版水墨印刷项目实施七年以来取得的成效、存在的不足和面临的困难,探讨水墨柔印工艺在出版物印刷领域的应用现状和发展前景。指出要实现水墨柔印工艺健康、跨越式发展,需要全产业链相关各方的大力支持和共同努力。"
2018,中国柔印迈进新时代--《印刷杂志》,改革开放 中国柔印 矛盾 质量 成本 环保,"党的十九大指出:中国特色社会主义进入新时代,我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。十九大的这两个论断给人以深刻印象。受十九大精神的启发,结合中国柔印的实际情况和发展状况,笔者认为:中国柔印发展迈进新时代,中国柔印发展的主要矛盾是行业对柔印日益增长的需要和柔印质量及成本之间的矛盾。"
2018,软包装柔印的应用现状和发展趋势--《印刷技术》,软包装;,"大多柔印企业都斥巨资引进设备,他们希望借助先进的设备来赢得竞争力或开辟新市场,可现实却是昂贵的设备已经不是企业的稀缺资源,有资本随时可以得到。而要想让这些投入资金获得最大的回报率,企业就必须转变看法,吸引、培养并有效配置人才,人才才是企业的稀缺资源。不管是过去、现在,还是未来,能够获得成功的柔"
2017,柔印预印在瓦楞纸箱印刷中的地位与发展趋势--《印刷技术》,柔印机;瓦楞纸箱;预印;瓦楞纸板;柔性版;模切;网纹辊;线数;灰平衡;运输包装;,"当前,瓦楞纸箱印刷中的高、中、低各端均有代表产品和工艺。高端是预印工艺,已印好的彩卷同其他瓦楞芯纸和里纸共同生成彩色纸板,而后模切成形。中端是纸板后印,在瓦楞纸板上柔印,俗称后印。低端是纸板不印刷,由于电商背景下点对点的商业供应模式,因此纸箱上只需包含必要商品信息的纸质标签就能满足需求。高端产品承担的是纸箱的销售包装功能,低端产品承担的是纸箱的运输包装功"
2018,绿色印刷  柔印在行动--《印刷技术》,柔印机;国产机;环境保护标准;绿色印刷;柔性版制版;卫星式柔性版印刷机;中国印刷技术协会;,"2017年,我国印刷企业经历了""纸价上涨更快、环保督查更严""的考验,度过了十分艰难的一年。由于绿色印刷已成为业界共识,针对印刷过程中VOCs排放的治理成为了工作重点。使用水墨的柔性版印刷已被公认为低(无)VOCs排放的印刷工艺,其另一个优点是对于承印材料的印刷适性要求低于其他印刷方式。虽然柔印制版成本偏高一直被同行所诟病,导致其多年来在国内印刷总产值的占比并不高,好在国产柔性版材的推出,加快了制"
2017,中国柔印发展的黄金时代即将来临--《广东印刷》,柔印技术 中国印协 华南国际 大型展会 东莞厚街 书刊印刷企业 柔性版印刷 商贸平台 励展博览集团 展示平台,"日前,中国印协柔印分会与励展正式达成战略合作,将于2018年4月10~12日在东莞厚街参与协办2018华南国际柔印技术展。作为国内柔印行业的专业大型展会,励展将与中国印协柔印分会深度"
2007,继续推进柔印技术在中国的发展--《今日印刷》,柔性版印刷机 柔印机 柔印技术 柔版印刷机 水性油墨 包装印刷品 模内标签 卫星式 印刷方式 大发展,"社会信息化及经济全球化的发展促使印刷业发生着巨大的变化。在四大印刷工艺中,作为凸版印刷衍生的柔性版印刷,经过几十载的曲折发展历程,终成正果。柔印市场由小到大、由弱至强的发展态势,引得印刷各界人士竞相关注。据统计,20世纪90年代末,全球柔印每年都以70％的惊人速度增长,2000年,柔印已占全球印刷市场的18％～19％。然而在柔印增长的同时,全球凹印的增长却呈持平的状态,而胶印则出现略有下跌的态势。为何柔印发展如此之迅猛?究其原因应该是像陶瓷网纹辊、套筒式印版辊、水性油墨、UV油墨、激光雕刻技术和计算机技术等一批新技术的应用大大提高了其印刷质量,加上水性油墨的环保优势而使其得到了巨大发展,尤其是在欧美更为注重环保的国家,柔印更是应用广泛。那么,柔印在中国的发展现状如何?中国印刷业是如何推动柔印前进的呢?先进的柔印技术是否都得以顺利普及?……为此,《今日印刷》特意走访了几位业内资深专家、经理人,不妨听听他们对柔印在中国发展过程中所遇到的诸多问题的看法。"
