大豆油墨连接料 热聚合 响应面法,"采用热聚合反应使大豆油改性,以黏度为考察指标,通过响应面分析方法确定最佳热聚合工艺参数为:反应温度332℃,反应时间106 min,反应压力6 MPa,催化剂添加量5%。经过验证与对比实验可知,在最优热聚合工艺条件下产物黏度可达到107 mPa.s左右,与传统油墨连接料黏度110~120 mPa.s比较接近,基本符合环保大豆油墨连接料中对黏度指标的要求。"
环保油墨 油墨环境影响 挥发性有机化合物,"基于印刷油墨生命周期环境影响分析,指出环保油墨的研发关键,即控制挥发性有机化合物排放量、芳香烃溶剂挥发量和重金属含量。对国内外印刷油墨的环保标准进行了对比,进而提出我国环保油墨技术标准需要完善之处。在此基础上,对环保油墨的技术研发进行了展望,阐明了环保油墨目前研究热点问题及未来的研发走向。"
印刷 职业危害 防护措施,"随着我国印刷行业产业结构的调整和生产工艺的革新,印刷技术发生了巨大变化,从铅与火的时代走进了光与电的时代,印刷过程的工艺流程、物料使用和产品结构都发生了巨大变化,随之印刷作业中潜在的职业危害因素也发生了一定变化。本文分析了现阶段影响印刷作业人员健康的尘毒职业危害因素,指出了尘毒职业危害的分布情况,并且针对不同类型企业,提出了适宜的防治措施,以期达到在实际中能切实降低或消除印刷行业尘毒职业危害的目的。"
可食性油墨 黄原胶 粘度 大豆油 流变性能,可食性油墨是一种新型环保油墨它可直接印刷于食品药品等可食性基材表面无毒可食本文通过大量的资料查阅与分析确定可食性油墨的基本组成成分对可食性油墨的组成材料进行合理的选择通过大量的实验研制出可食性油墨并对该油墨的流变学及其他相关性能进行研究与分析研究结果表明以水色素黄原胶蔗糖大豆油为原料的可食性油墨体系性能稳定具有较好的粘度长时间存放油墨不分层该体系油墨黄原胶含量控制在体系总重的00505之间当黄原胶含量低于油墨总重的005时油墨不能很好的乳化当黄原胶含量高于油墨总重的05时油墨成为胶状体没有了流动性制备的油墨呈现非牛顿流体的特性其粘度随着剪切力增加而减小对制备油墨的触变性研究显示油墨呈现出很好的触变性触变环随着作用力时间和剪切速率的增加而改变另外该体系油墨具有较好的显色性对pH值变化十分稳定且当大豆油含量为油墨质量总重的33左右时蔗糖含量为28左右时成功实现了油墨在食品表面的印刷
纸质出版 绿色印刷 中国出版业 环保意识 出版产业 传统出版业 再生纸 数字化时代 出版理念 电子阅读器,"在全球已达成发展低碳经济共识之际,我国政府在哥本哈根会议上正式宣布,到2020年,单位国内生产总值二氧化碳排放将比2005年下降40%～45%。而出版业作为一个资源和能源消耗密集型产业,其经济发展模式必然面临由""高碳""向""低碳""的转型。同时,塑造绿色的出版产业也是提升我国公民环保意识、实现环境教育的重要途径。事实上,我国低碳出版的概念早已经开始践行:从最初号召全民读旧书、借书读、换书读等一系列""环保阅读""活动开始,至2008年,弘文馆出版的少儿环保读物《阿米》,就直接以""中国第一本由100%再生纸印刷的环保图书""为宣传卖点;张抗抗、杨红樱、李银河、冯永峰等作者签署了《作家爱森林宣言》,成为支持绿色出版的成员。2010年,""环保""成为与""孔子、上海、中国当代艺术""并列的年度英语出版界四大中国主题。然而,中国出版业开始步入绿色出版时代的道路仍然不清晰,绿色出版的概念并未普及,在""绿色""转型的面前,尚有不少问题和困惑。为此,我刊特邀已践行在绿色出版一线的出版发行集团、民营书业代表、媒介观察员与相关学者,同我们共同探讨绿色出版可能面临的问题以及我们应如何顺应潮流,切实有所作为。"
数字印刷机 传统印刷 印刷方式 印刷技术 印版滚筒 印刷媒体 计算机直接制版 技术手册 成像系统 印刷工艺,"关于数字印刷(Digital Printing)这个概念,目前国际上还没有统一的标准定义。有人认为,采用数字定义的图文页面进行的印刷技术就是数字印刷;也有人认为,直接将数字图像信息转移到承印物上的印刷技术叫做数字印刷。本文阐述了作者对数字印刷的认识以及对目前需要明确和澄清的问题的看法,本文仅代表作者个人观点。本刊将分两期刊登此文,以期引起行业的讨论,及早确定统一的数字印刷的概念。"
喷墨印刷 电子监管码 发展现状 未来前景,"新世纪十年,印刷业经历了相当大的变革,最为显著的就是数字印刷。初生牛犊不怕虎,数字印刷在刚出现时就以技术变革先锋被赋予取代传统印刷的历史使命;但一直以来却只能韬光养晦,作为传统印刷的有效补充而生存发展;数字印刷分支喷墨印刷在最近的国际印刷大展中大放光彩,激发出其对传统印刷的强有力冲击,势必成为主流印刷方式之一,成为印刷的未来。有关数字喷墨印刷与传统印刷的纷争,再次成为印刷学术界、产业界讨论热点,支持者、反对者各执其辞。面对数字化不断革新的今天,我们应该在充分发挥现有成熟印刷技术的优势基础上,了解数字印刷的价值实现,应用新技术实现产品增值,促成企业转型和进一步发展。专题策划:杨勇飞"
柔印油墨 环保化 水性油墨 胶印油墨 环境保护 有限公司 无污染 凹印油墨 印刷市场 油墨制造,"从哥本哈根世界气候大会获悉:人类正面临可持续发展的严峻挑战,环境保护问题受到全球越来越多的关注。而油墨行业因与环境保护紧密相关,也已成为人们关注的热点问题。国内外环保油墨的发展现状自20世纪50年代开始,欧美等发达国家和地区就已经提出了绿色环保理念。如今,这一理念正以强大的影响力引导着全球油墨行业朝着""无毒、无污染""的方向发展。2000年开始,欧美和日本等"
市场规模 全球环保 油墨 可持续发展 调查报告 市场预测 产业转型 印刷业 美元 增长率,"近日,Pira公司发布最新调查报告《环保油墨的未来——2014年市场预测》。报告显示,印刷业正在努力向可持续发展产业转型,"
丝网印刷 普通油墨 工业文明 农业文明 印刷工业 信息化 低碳化 印刷油墨 大豆油 固体污染物,"在人类发展进程中,世界文明先后经历了农业文明、工业文明和信息化三次浪潮,每次浪潮都有不同的显著内涵和特点。例如,农业文明的浪潮实现人类农耕文明的兴起,带动农业的辉煌发展;工业文明的浪潮使农业文明向工业文明转变,带来工业化的飞速发展;信息化的浪潮引领着信息化改革,使全球进入知识经济时代。"
纸质包装 绿色设计 减量化 绿色标识 低碳经济,近几年在包装界掀起了绿色包装设计的风潮绿色包装以不污染环境保持人体健康为根本充分挖掘可再生可循环使用的包装材料以节约自然资源和降低能源消耗为发展宗旨以实现地球生态环境的可持续发展为最终目的我国正处于工业化加速发展的重要阶段作为配套行业的纸包装工业也在大踏步的前进在我国食品包装中运用纸质材料占整个食品包装用料的13在纸质食品包装的绿色设计推广实践中包装设计师作为食品与生厂商市场的衔接者起到至关重要的桥梁作用在设计之初就应考虑到包装造型结构材料的环保印刷生产便于流通等各个环节的协调融合注重食品包装的环保性和对人体健康的保证等这些关键性专业问题是本文研究的主要内容其中对食品包装设计中的减量化理念的深入探讨以及绿色食品包装必有的标识是本文研究的重点倡导设计者能够真正深入涉及绿色包装的各个关键环节多层面多角度将各个设计要素进行宏观控制有机整合将食品的绿色包装设计理念和包装的功能性完美的融入到整个包装工业化生产之中使设计更具时效性可操控性和实施性避免口号理念大于实际操作的现象最终为实现节能减排低碳经济的发展为构建和谐社会节约型社会提供可行的可量化的可持续发展的设计模式
